Lines,LineType,FromBus,ToBus,Reactance,FlowLimitForw,FlowLimitBack
D-64.To.D-55,AC,D-64,D-55,0.0095,1501,1501
D_Gronau.To.D-56,AC,D_Gronau,D-56,0.00523,1501,1501
D-47.To.D-57,AC,D-47,D-57,0.01515,1501,1501
D-62.To.D-57,AC,D-62,D-57,0.01097,2001,2001
D-82.To.D-57,AC,D-82,D-57,0.01853,601,601
D-52.To.D-58,AC,D-52,D-58,0.01156,1001,1001
D-49.To.D-59,AC,D-49,D-59,0.0233,1001,1001
D-4.To.D-6,AC,D-4,D-6,0.02119,1001,1001
D-49.To.D-60,AC,D-49,D-60,0.03208,501,501
D-74.To.D-60,AC,D-74,D-60,0.01802,501,501
D-59.To.D-61,AC,D-59,D-61,0.03069,501,501
D-63.To.D-61,AC,D-63,D-61,0.03235,501,501
D-68.To.D-62,AC,D-68,D-62,0.00857,1501,1501
D-49.To.D-63,AC,D-49,D-63,0.0389,501,501
D-65.To.D-63,AC,D-65,D-63,0.02004,501,501
D-65.To.D-63.(2),AC,D-65,D-63,0.00958,501,501
D-74.To.D-64,AC,D-74,D-64,0.01087,1001,1001
D-100.To.D-65,AC,D-100,D-65,0.08045,501,501
D-48.To.D-65,AC,D-48,D-65,0.01758,501,501
D-59.To.D-66,AC,D-59,D-66,0.01492,501,501
D-71.To.D-66,AC,D-71,D-66,0.01998,501,501
D-78.To.D-66,AC,D-78,D-66,0.0428,501,501
D-53.To.D-69,AC,D-53,D-69,0.0325,1501,1501
D-2.To.D-7,AC,D-2,D-7,0.04206,501,501
D-9.To.D-7,AC,D-9,D-7,0.02661,501,501
D-57.To.D-70,AC,D-57,D-70,0.03457,501,501
D-54.To.D-71,AC,D-54,D-71,0.01987,1501,1501
D-81.To.D-71,AC,D-81,D-71,0.01745,501,501
D-66.To.D-72,AC,D-66,D-72,0.01836,1001,1001
D-65.To.D-73,AC,D-65,D-73,0.02133,1001,1001
D-78.To.D-73,AC,D-78,D-73,0.01766,501,501
D-90.To.D-74,AC,D-90,D-74,0.00993,1001,1001
D-69.To.D-75,AC,D-69,D-75,0.01552,1001,1001
D-56.To.D-76,AC,D-56,D-76,0.00867,1001,1001
D-88.To.D-76,AC,D-88,D-76,0.03684,501,501
D-68.To.D-77,AC,D-68,D-77,0.00463,3601,3601
D-71.To.D-78,AC,D-71,D-78,0.00409,1001,1001
D-88.To.D-78,AC,D-88,D-78,0.03447,501,501
D-85.To.D-79,AC,D-85,D-79,0.00935,1001,1001
D-3.To.D-8,AC,D-3,D-8,0.02512,501,501
D-9.To.D-8,AC,D-9,D-8,0.04686,501,501
D-62.To.D-82,AC,D-62,D-82,0.02553,1101,1101
D-77.To.D-82,AC,D-77,D-82,0.021,1001,1001
D-92.To.D-82,AC,D-92,D-82,0.02018,1001,1001
D-77.To.D-83,AC,D-77,D-83,0.00745,3101,3101
D-80.To.D-83,AC,D-80,D-83,0.01361,2601,2601
D-78.To.D-84,AC,D-78,D-84,0.028,1001,1001
D-114.To.D-85,AC,D-114,D-85,0.03238,1001,1001
D-70.To.D-85,AC,D-70,D-85,0.01112,501,501
D-99.To.D-85,AC,D-99,D-85,0.02899,1001,1001
D-114.To.D-87,AC,D-114,D-87,0.06515,501,501
D-85.To.D-87,AC,D-85,D-87,0.04422,501,501
D-104.To.D-88,AC,D-104,D-88,0.0118,1001,1001
D-86.To.D-88,AC,D-86,D-88,0.01787,1001,1001
