Generators,GeneratorType,BusGenerator,MinRunCapacity,MaxRunCapacity,RampUp,RampDown,UT,DT,MaxTransitionLevel,FuelCost,FuelGenerator,FHGenerator,StartupCost,hr1,hr2,hr3,hr4,f1,f2,f3,R2U,R2D,R3U,R3D,Technology,
GConv127,SLOW,D-5,50,125,2.5,2.5,24,12,50,2.0205,COAL,FH_ARA,6493.306722,8.3721,,,,0,,,0,0,0,0,CST,24
GConv128,SLOW,D-5,50,125,2.5,2.5,24,12,50,2.0205,COAL,FH_ARA,6493.306722,8.3721,,,,0,,,0,0,0,0,CST,24
GConv129,SLOW,D-58,200,500,10,10,24,12,200,1.0815,LIGNITE,FH_GERMANY,22035.40949,7.614,8.172,8.73,,483.75,344.25,135,0,50,0,0,CST,24
GConv130,SLOW,D-58,160,400,8,8,24,12,160,1.0815,LIGNITE,FH_GERMANY,17628.32759,9,,,,0,,,0,40,0,0,CST,24
GConv131,SLOW,D-102,138,345,6.9,6.9,24,12,138,2.0205,COAL,FH_ARA,17921.52655,9.7297,,,,0,,,4.435,0,0,0,CST,24
GConv132,SLOW,D-102,138,345,6.9,6.9,24,12,138,2.0205,COAL,FH_ARA,17921.52655,9.7297,,,,0,,,0,0,0,0,CST,24
GConv133,SLOW,D-102,124.5,345,6.9,6.9,24,12,124.5,2.0205,COAL,FH_ARA,17921.52655,9.7297,,,,0.0037,,,0,0,0,0,CST,24
GConv134,SLOW,D-102,138,345,6.9,6.9,24,12,138,2.0205,COAL,FH_ARA,17921.52655,9.7297,,,,0,,,0,0,0,0,CST,24
GConv135,SLOW,D-102,270.4,676,13.52,13.52,24,12,270.4,2.0205,COAL,FH_ARA,35115.80275,8.2314,8.8346,9.4378,,707.0595,503.1614,197.3381,0,0,0,0,CST,24
GConv136,SLOW,D-62,307.2,768,15.36,15.36,24,12,307.2,1.0815,LIGNITE,FH_GERMANY,33846.38898,7.4283,7.9727,8.5171,,724.9171,515.8647,202.287,0,76.8,0,110.4,CST,24
GConv137,SLOW,D-62,307.2,768,15.36,15.36,24,12,307.2,1.0815,LIGNITE,FH_GERMANY,33846.38898,7.4283,7.9727,8.5171,,724.9171,515.8647,202.287,0,76.8,0,110.4,CST,24
GConv138,SLOW,D-192,116.8,292,5.84,5.84,24,12,116.8,1.0815,LIGNITE,FH_GERMANY,12305.12419,9,9.3375,10.9125,,492.75,443.475,98.55,0,29.2,0,0,CST,24
GConv139,CHP,D-108,15.84,33,0.02,0.02,24,12,32.7,2.0205,COAL,FH_ARA,1415.570339,7.614,8.172,8.73,,31.9275,22.7205,8.91,0,0,0,0,CHP,24
GConv140,CHP,D-108,11.9,66,1.32,1.32,24,12,11.9,2.0205,COAL,FH_ARA,2831.140679,9,,,,0,,,0,0,0,0,CHP,24
GConv141,CHP,D-108,11.9,66,1.32,1.32,24,12,11.9,2.0205,COAL,FH_ARA,2831.140679,9,,,,0,,,0,0,0,0,CHP,24
GConv142,CHP,D-197,89.9,249,4.98,4.98,24,12,89.9,2.0205,COAL,FH_ARA,10681.12165,11.6129,,,,0.0003,,,24.9,0,47.31,0,CHP,24
GConv143,CHP,D-197,184.1,510,10.2,10.2,24,12,184.1,2.0205,COAL,FH_ARA,15919.02525,8.0147,8.6021,9.1895,,519.4015,369.6171,144.9373,0,0,0,0,CHP,24
GConv144,FAST,D-47,8.8,36.8,1.84,1.84,2,2,36.8,6.9228,NAT_GAS,FH_NCG,639.6999494,9.0135,,,,0,,,9.2,0,16.96,0,GT,24
GConv145,FAST,D-47,9.1,37.8,1.89,1.89,2,2,37.8,6.9228,NAT_GAS,FH_NCG,657.0831002,7.6254,8.1843,8.7431,,36.6264,26.064,10.2217,9.45,0,17.36,0,GT,24
GConv146,FAST,D-47,8.8,36.8,1.84,1.84,2,2,36.8,6.9228,NAT_GAS,FH_NCG,639.6999494,7.2108,7.4812,8.7431,,49.7546,44.7796,9.9513,9.2,0,16.96,0,GT,24
GConv147,FAST,D-47,9.1,37.8,1.89,1.89,2,2,37.8,6.9228,NAT_GAS,FH_NCG,657.0831002,7.2108,8.022,8.2023,,51.1067,35.7753,30.6641,9.45,0,17.36,0,GT,24
GConv148,FAST,D-47,8.8,36.8,1.84,1.84,2,2,36.8,6.9228,NAT_GAS,FH_NCG,639.6999494,7.2108,7.4812,8.7431,,49.7546,44.7796,9.9513,9.2,0,16.96,0,GT,24
GConv149,FAST,D-47,9.1,37.8,1.89,1.89,2,2,37.8,6.9228,NAT_GAS,FH_NCG,657.0831002,7.2108,7.4812,8.7431,,51.1067,45.9964,10.2217,9.45,0,17.36,0,GT,24
GConv150,FAST,D-47,8.8,36.8,1.84,1.84,2,2,36.8,6.9228,NAT_GAS,FH_NCG,639.6999494,9.0135,,,,0,,,9.2,0,16.96,0,GT,24
GConv151,FAST,D-47,9.1,37.8,1.89,1.89,2,2,37.8,6.9228,NAT_GAS,FH_NCG,657.0831002,7.2108,8.022,8.2023,,51.1067,35.7753,30.6641,9.45,0,17.36,0,GT,24
GConv152,CHP,D-21,58.5,194,3.88,3.88,24,12,58.5,2.0205,COAL,FH_ARA,6055.47235,9.4737,,,,0,,,0,0,0,0,CHP,24
GConv153,CHP,D-21,26,127,2.54,2.54,8,8,26,6.9228,NAT_GAS,FH_NCG,12502.94223,7.5,,,,0,,,12.7,0,24.13,0,CHP,24
GConv154,SLOW,D-91,95.2,238,4.76,4.76,24,12,95.2,2.0205,COAL,FH_ARA,11505.10699,8.2314,8.8346,9.4378,,248.9351,177.1485,69.477,0,0,0,0,CST,24
GConv155,SLOW,D-100,270,675,6.75,6.75,24,12,270,2.0205,COAL,FH_ARA,38493.69963,9.2308,,,,0,,,0,0,0,0,CST,24
GConv156,SLOW,D-100,270,675,6.75,6.75,24,12,270,2.0205,COAL,FH_ARA,38493.69963,9.2308,,,,0,,,0,0,0,0,CST,24
GConv157,CHP,D_Rommer,82.08,171,0.11333,0.11333,24,12,169.3,1.0815,LIGNITE,FH_GERMANY,5515.678898,9.6,9.96,11.64,,307.8,277.02,61.56,0,0,0,1.69995,CHP,24
GConv158,SLOW,D-189,10.5,26.3,0.526,0.526,24,12,10.5,2.0205,COAL,FH_ARA,1311.265648,10.152,10.896,11.64,,33.927,24.1434,9.468,2.63,0,2.61,0,CST,24
GConv159,SLOW,D-189,30.7,76.7,1.534,1.534,24,12,30.7,2.0205,COAL,FH_ARA,3824.109322,7.7838,8.0757,9.4378,,111.9405,100.7456,22.3903,0,0,0,0,CST,24
GConv160,SLOW,D-126,51.6,129,2.58,2.58,24,12,51.6,2.0205,COAL,FH_ARA,6431.683215,12,,,,0,,,12.9,0,24.51,0,CST,24
GConv161,SLOW,D-16,38,95,1.9,1.9,24,12,38,2.0205,COAL,FH_ARA,4934.913109,7.614,8.172,8.73,,91.9125,65.4075,25.65,0,0,0,0,CST,24
GConv162,CHP,D-16,34.3,151,3.02,3.02,24,12,34.3,2.0205,COAL,FH_ARA,6477.306704,7.2,8.01,8.19,,203.85,142.695,122.31,0,15.1,0,0,CHP,24
GConv163,SLOW,D-180,255.6,639,6.39,6.39,24,12,255.6,2.0205,COAL,FH_ARA,36440.70231,7.3846,8.2154,8.4,,884.7692,619.3335,530.8615,0,31.95,0,0,CST,24
GConv164,SLOW,D-136,120,300,3,3,24,12,120,1.0815,LIGNITE,FH_GERMANY,13221.2457,10.2857,,,,0,,,0,0,0,45,CST,24
GConv165,SLOW,D-136,120,300,3,3,24,12,120,1.0815,LIGNITE,FH_GERMANY,13221.2457,10.2857,,,,0,,,0,0,0,45,CST,24
GConv166,SLOW,D-136,240,600,6,6,24,12,240,1.0815,LIGNITE,FH_GERMANY,28074.37593,8.46,9.08,9.7,,645,459,180,0,0,0,90,CST,24
GConv167,SLOW,D-136,240,600,6,6,24,12,240,1.0815,LIGNITE,FH_GERMANY,28074.37593,10,,,,0,,,0,0,0,90,CST,24
GConv168,SLOW,D-22,300,750,15,15,24,12,300,2.0205,COAL,FH_ARA,42770.77736,9.2308,,,,0,,,0,0,0,0,CST,24
GConv169,SLOW,D-191,187.2,468,4.68,4.68,24,12,187.2,2.0205,COAL,FH_ARA,24310.94037,9.0203,,,,0,,,0,0,0,0,CST,24
