BERRENRATH,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56,87.56
BEXBACH_1,301.76,301.76,301.76,301.76,301.76,301.76,301.76,301.76,301.76,301.76,301.76,301.76,301.76,301.76,301.76,301.76,301.76,301.76,301.76,301.76,368.029,507.869,552,552,552,552,552,655.04,655.04,655.04,655.04,655.04,655.04,655.04,655.04,655.04,655.04,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,655.04,655.04,655.04,655.04,655.04,655.04,655.04,655.04,655.04,655.04,655.04,655.04,655.04,655.04,655.04,655.04,552,552,552,552,552,552,552,552,440.53,368.029,301.76,301.76,301.76
Bielefeld,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14
BOXBERG_1,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35
BOXBERG_2,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35,460.35
BOXBERG_3,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5,841.5
BOXBERG_R,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76,617.76
BROKDORF_1,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73,1077.73
BROKDORF_2,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433,269.433
BUER,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,35.0011,35.0011,52.5012,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,52.5012,52.5012,52.5012,35.0011,35.0011,35.0011,35.0011,35.0011,35.0011,35.0011,35.0011,35.0011,52.5012,52.5012,52.5012,52.5012,52.5012,52.5012,52.5012,52.5012,52.5012,52.5012,52.5012,52.5012,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,52.5012,52.5012,52.5012,52.5012,35.0011,35.0011,28.7,28.7,28.7,28.7
