Name,SUBZONE,ZONE,X,Y
D-131,NRW,DE,16.63163988,15.60745182
D-133,HE,DE,17.00536818,15.59464622
D-134,TH,DE,20.57385015,15.57218675
D-135,TH,DE,20.87171396,15.48129434
D-136,NRW,DE,14.66592309,15.47933495
D-137,NRW,DE,15.38279674,15.41979005
D-138,HE,DE,17.66884245,15.41538142
D-139,HE,DE,18.91656472,15.3398132
D-14,SH_HH,DE,18.4711701,21.39699064
D-140,BY,DE,21.7790208,15.19686202
D-141,NRW,DE,15.49561527,15.17314162
D-142,BY,DE,21.03408276,14.98358805
D-143,HE,DE,16.89786871,14.83853699
D-144,RLP_SL,DE,15.95864752,14.74449369
D-145,RLP_SL,DE,16.37688812,14.73441812
D-146,RLP_SL,DE,16.11205868,14.71321635
D-147,NRW,DE,14.83550108,14.70419009
D-148,HE,DE,17.81049547,14.6397455
D-149,HE,DE,18.15398989,14.56753398
D-15,MV,DE,20.32833796,21.17829977
D-150,BY,DE,20.8901897,14.54738275
D-151,BY,DE,20.55061408,14.44095437
D-152,HE,DE,18.09996036,14.41618421
D-153,HE,DE,17.52103058,14.35929594
D-154,BY,DE,19.68109937,14.31311364
D-155,HE,DE,17.28307579,14.24782925
D-156,BY,DE,22.32603795,14.17624744
D-157,HE,DE,17.56946168,14.16764004
D-158,HE,DE,17.99274111,14.09668719
D-159,BY,DE,18.44597421,14.04294781
D-16,SH_HH,DE,18.17890557,21.04859352
D-160,RLP_SL,DE,14.84788851,13.89096583
D-161,BY,DE,20.97081451,13.87669139
D-162,RLP_SL,DE,15.44942422,13.88396848
D-163,BW,DE,18.89529019,13.79566228
